               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.071927,             0.06612,            0.053013,             0.35097,             0.59316,             0.46559,             0.25236,            0.039733,            0.030753,            0.043321,           0.0033221,           0.0033221,            0.070101
                   1,             0.04751,            0.052779,            0.037722,             0.40507,              0.6882,             0.60432,             0.37884,            0.037383,             0.02799,            0.030054,           0.0065895,           0.0065895,            0.040035
                   2,            0.041439,            0.050959,            0.028757,             0.73508,             0.78553,              0.8187,             0.44691,            0.035986,            0.027184,            0.020688,            0.009791,            0.009791,           0.0099036
                   3,            0.035999,            0.049413,            0.021207,             0.82313,              0.7856,             0.85849,             0.62129,            0.028205,            0.027181,            0.017002,            0.009703,            0.009703,            0.009703
                   4,            0.031285,            0.047088,            0.015475,             0.93701,             0.88474,             0.94185,             0.72621,            0.023603,            0.023951,            0.008504,            0.009703,            0.009703,            0.009703
                   5,            0.028869,            0.045406,            0.012443,             0.94689,             0.89749,              0.9516,             0.73903,            0.023666,            0.023434,           0.0060285,            0.009604,            0.009604,            0.009604
                   6,            0.027542,            0.044066,            0.010492,             0.93486,             0.90813,              0.9373,             0.75463,            0.021829,            0.022244,           0.0072277,            0.009505,            0.009505,            0.009505
                   7,            0.025678,             0.04353,           0.0092396,             0.96604,             0.91659,             0.95629,             0.78272,            0.021102,            0.021887,           0.0046772,            0.009406,            0.009406,            0.009406
                   8,            0.024669,            0.041278,           0.0076442,             0.97408,             0.92596,             0.96228,             0.80628,             0.01936,            0.021064,           0.0031936,            0.009307,            0.009307,            0.009307
                   9,            0.024045,            0.040814,           0.0075737,             0.97702,             0.92956,             0.96435,             0.79884,             0.01957,            0.020274,           0.0037726,            0.009208,            0.009208,            0.009208
                  10,            0.023795,            0.039951,           0.0066941,              0.9707,             0.93934,             0.96398,             0.82539,            0.017982,            0.020662,           0.0024221,            0.009109,            0.009109,            0.009109
                  11,            0.022899,            0.039321,           0.0060014,             0.96759,             0.93836,             0.96108,             0.82143,            0.018366,            0.020717,           0.0026979,             0.00901,             0.00901,             0.00901
                  12,            0.022283,              0.0379,           0.0065156,             0.97006,             0.93041,             0.95443,             0.81159,             0.01906,            0.021438,           0.0028356,            0.008911,            0.008911,            0.008911
                  13,            0.021451,            0.037739,           0.0053635,             0.96478,             0.91726,             0.95541,             0.81679,            0.018348,            0.020982,           0.0030017,            0.008812,            0.008812,            0.008812
                  14,             0.02113,            0.037877,           0.0048022,             0.93897,             0.90033,             0.94298,             0.82099,            0.017605,            0.021435,           0.0052628,            0.008713,            0.008713,            0.008713
                  15,            0.020729,            0.036714,           0.0044006,             0.97678,             0.92735,             0.96701,             0.84746,            0.016523,             0.01925,           0.0023677,            0.008614,            0.008614,            0.008614
                  16,            0.020568,            0.036665,           0.0044295,             0.97096,             0.93578,             0.96662,              0.8519,            0.015866,            0.019229,           0.0019896,            0.008515,            0.008515,            0.008515
                  17,             0.01969,            0.036146,           0.0039352,             0.97768,             0.94009,              0.9708,             0.85508,            0.015632,            0.018561,           0.0014821,            0.008416,            0.008416,            0.008416
                  18,            0.020089,            0.035049,           0.0041763,             0.96288,             0.93829,             0.96671,             0.85737,            0.015396,            0.018567,           0.0026622,            0.008317,            0.008317,            0.008317
                  19,             0.01957,            0.035024,            0.003786,             0.97958,             0.94678,             0.97337,             0.87082,            0.014454,            0.017586,           0.0013687,            0.008218,            0.008218,            0.008218
                  20,             0.01906,            0.035035,           0.0036429,             0.96569,              0.9581,             0.97219,             0.86624,              0.0148,            0.017769,           0.0013464,            0.008119,            0.008119,            0.008119
                  21,            0.019027,            0.035017,           0.0035943,             0.98125,               0.946,             0.97188,             0.87393,            0.014207,            0.017403,           0.0012451,             0.00802,             0.00802,             0.00802
                  22,            0.018794,            0.034117,           0.0040274,             0.96845,             0.94766,             0.97389,             0.87418,            0.014113,            0.017339,           0.0016714,            0.007921,            0.007921,            0.007921
                  23,            0.018533,            0.034231,           0.0036033,             0.97146,             0.94431,             0.96828,             0.86536,            0.014381,            0.017666,           0.0018549,            0.007822,            0.007822,            0.007822
                  24,            0.018451,            0.034056,            0.003536,              0.9782,             0.94412,             0.97158,             0.88213,            0.013818,            0.017242,           0.0010675,            0.007723,            0.007723,            0.007723
                  25,            0.018266,            0.033463,           0.0032384,             0.98004,             0.94573,             0.97056,             0.87839,            0.013785,            0.017113,           0.0011276,            0.007624,            0.007624,            0.007624
                  26,            0.017672,            0.032675,           0.0032421,             0.98148,             0.94577,             0.97233,             0.88942,            0.013578,            0.016825,           0.0012875,            0.007525,            0.007525,            0.007525
                  27,            0.017424,            0.032831,           0.0030243,             0.97393,              0.9422,             0.97184,             0.88088,            0.013721,            0.017389,          0.00098249,            0.007426,            0.007426,            0.007426
                  28,            0.017448,            0.032476,           0.0026496,             0.98862,             0.94179,             0.97462,             0.88874,            0.013163,            0.016471,          0.00094859,            0.007327,            0.007327,            0.007327
                  29,            0.017328,            0.032882,           0.0026772,             0.97163,             0.95284,             0.97167,             0.88834,            0.013166,             0.01651,           0.0017367,            0.007228,            0.007228,            0.007228
